time,vehicle_id,x,y,speed,angle,lane,pos,anomaly
343,3,121.61438301707923,460.2091438768072,8.650441193312986,57.18427557823631,104184626#5_0,54.78285231787467,0
343,v_neg_speed,486.6997463812436,457.4359906218145,0.2637,225.34371246637568,315255906#2_0,3.983900000000001,1
344,3,125.10306267705826,462.4587998277593,4.150441193312986,57.18427557823631,104184626#5_0,58.93329351118766,0
344,v_neg_speed,486.5130968399592,457.2504199796127,0.2646,225.29739236494174,315255906#2_0,4.248500000000001,1
345,3,125.57780539798622,464.8668954765277,2.7062962936382737,33.34648427271265,:1202174483_11_0,1.0795898048259338,0
345,v_neg_speed,486.3258124362895,457.06421814475027,0.2655,225.25095844727537,315255906#2_0,4.514000000000001,1
346,3,123.60178885704669,465.24887187783384,2.068906672057323,335.74025734894866,:1202174483_11_0,3.1484964768832566,0
346,v_neg_speed,486.13789317023446,456.87738511722733,0.26639999999999997,225.20441115788736,315255906#2_0,4.780400000000001,1
347,3,122.12129992501589,464.3485389500308,1.745651583481207,278.768244746337,-104184626#5_0,1.6641480603644632,0
347,v_neg_speed,485.9493390417941,456.68992089704386,0.2673,225.16607425813146,315255906#2_0,5.047700000000001,1
348,3,119.15025552180447,462.43370327144214,3.5348949137056236,237.19825297052063,-104184626#5_0,5.199042974070087,0
348,v_neg_speed,485.7601500509684,456.5018254841998,0.2682,225.16607425813098,315255906#2_0,5.315900000000001,1
349,3,114.40884195199224,459.3778661184843,5.641248139404318,237.19825297052006,-104184626#5_0,10.840291113474406,0
349,v_neg_speed,485.57032619775737,456.31309887869526,0.2691,225.16607425813146,315255906#2_0,5.585000000000001,1
350,3,108.42470286709089,455.62064383977713,7.066912061991728,238.15729779787443,-104184626#5_0,17.907203175466133,0
350,v_neg_speed,485.37986748216105,456.12374108053007,0.27,225.16607425813098,315255906#2_0,5.855,1
351,3,100.79647344282536,450.9746993610762,8.932403297783658,238.69953362584877,-104184626#5_0,26.83960647324979,0
351,v_neg_speed,485.1887739041794,455.9337520897044,0.2709,225.16607425813098,315255906#2_0,6.125900000000001,1
352,3,93.80254955098667,446.9353845207666,8.077149085575565,239.99157707060596,-104184626#5_0,34.91675555882536,0
352,v_neg_speed,484.9970454638124,455.74313190621814,0.2718,225.16607425813098,315255906#2_0,6.3977,1
353,3,86.03071444319403,443.1628894396845,8.644535827395357,245.00669473774016,-104184626#5_0,43.56129138622072,0
353,v_neg_speed,484.8046821610601,455.5518805300714,0.2727,225.16607425813146,315255906#2_0,6.670400000000001,1
354,3,77.76534618778933,439.3098606288943,9.119978171718158,245.00669473774016,-104184626#5_0,52.681269557938876,0
354,v_neg_speed,484.61168399592253,455.359997961264,0.2736,225.16607425813098,315255906#2_0,6.944000000000001,1
355,v_neg_speed,484.4180509683996,455.16748419979615,0.2745,225.16607425813098,315255906#2_0,7.218500000000001,1
356,v_neg_speed,484.2237830784913,454.9743392456677,0.2754,225.16607425813098,315255906#2_0,7.493900000000001,1
357,v_neg_speed,484.02888032619774,454.7805630988787,0.2763,225.16607425813098,315255906#2_0,7.770200000000001,1
358,v_neg_speed,483.8333427115188,454.5861557594292,0.2772,225.16607425813098,315255906#2_0,8.047400000000001,1
359,v_neg_speed,483.63717023445463,454.39111722731906,0.2781,225.16607425813098,315255906#2_0,8.325500000000002,1
360,v_neg_speed,483.4403628950051,454.19544750254846,0.279,225.16607425813146,315255906#2_0,8.604500000000002,1
361,v_neg_speed,483.2429206931702,453.9991465851173,0.2799,225.16607425813146,315255906#2_0,8.884400000000001,1
362,v_neg_speed,483.04484362895005,453.8022144750255,0.2808,225.16607425813098,315255906#2_0,9.1652,1
363,v_neg_speed,482.8461317023445,453.60465117227324,0.2817,225.16607425813146,315255906#2_0,9.446900000000001,1
364,v_neg_speed,482.6467849133537,453.4064566768604,0.2826,225.16607425813146,315255906#2_0,9.729500000000002,1
365,v_neg_speed,482.43212336073236,453.2233609845447,0.28350000000000003,225.41384727481295,:3213624009_0_0,0.20300000000000118,1
366,v_neg_speed,482.21094052227073,453.0459415954044,0.2844,225.7610699514135,:3213624009_0_0,0.48740000000000117,1
367,v_neg_speed,481.98905773811776,452.8679607525009,0.2853,226.10948123149672,:3213624009_0_0,0.7727000000000012,1
368,v_neg_speed,481.76647500827346,452.68941845583436,0.2862,226.45905610417356,:3213624009_0_0,1.0589000000000013,1
369,v_neg_speed,481.5431923327379,452.5103147054047,0.2871,226.8097690428257,:3213624009_0_0,1.3460000000000014,1
370,v_neg_speed,481.3192097115109,452.33064950121195,0.28800000000000003,227.1615940121362,:3213624009_0_0,1.6340000000000015,1
371,v_neg_speed,481.0945271445926,452.1504228432561,0.2889,227.51450447565736,:3213624009_0_0,1.9229000000000014,1
372,v_neg_speed,480.869144631983,451.96963473153716,0.2898,227.86847340394402,:3213624009_0_0,2.212700000000001,1
373,v_neg_speed,480.6310906630963,451.8073001210923,0.2907,228.47897157683013,:3213624009_0_0,2.5034000000000014,1
374,v_neg_speed,480.36902096181507,451.68143769876644,0.2916,229.59100071436623,:3213624009_0_0,2.7950000000000013,1
375,v_neg_speed,480.1061424034312,451.5551868121742,0.29250000000000004,230.7100949497309,:3213624009_0_0,3.0875000000000012,1
376,v_neg_speed,479.84245498794456,451.4285474613155,0.2934,231.83544441314095,:3213624009_0_0,3.3809000000000013,1
377,v_neg_speed,479.5779587153552,451.30151964619034,0.2943,232.9662108000084,:3213624009_0_0,3.675200000000001,1
378,v_neg_speed,479.3126535856631,451.17410336679876,0.2952,234.10153080722841,:3213624009_0_0,3.970400000000001,1
379,v_neg_speed,479.0463518822863,451.04669076736536,0.29610000000000003,235.24549487177327,:3213624009_0_0,4.266500000000001,1
380,v_neg_speed,478.77910253172286,450.9191796393187,0.29700000000000004,236.3959389808409,:3213624009_0_0,4.5635,1
381,v_neg_speed,478.5110433346425,450.7912821139144,0.2979,237.5482875173629,:3213624009_0_0,4.861400000000001,1
382,v_neg_speed,478.2421742910454,450.6629981911524,0.2988,238.50926156003763,:3213624009_0_0,5.160200000000001,1
383,v_neg_speed,477.97249540093134,450.5343278710326,0.2997,239.3053116095474,:3213624009_0_0,5.4599,1
384,v_neg_speed,477.7020066643005,450.40527115355513,0.30060000000000003,240.10319917388185,:3213624009_0_0,5.7605,1
385,v_neg_speed,477.46178840973835,450.22585435476725,0.30150000000000005,240.22313377125812,:3213624009_0_0,6.062,1
386,v_neg_speed,477.2250226671383,450.03919776404024,0.3024,240.25220892692198,:3213624009_0_0,6.3644,1
387,v_neg_speed,476.9875522645901,449.8519856477456,0.3033,240.28136605707775,:3213624009_0_0,6.6677,1
388,v_neg_speed,476.7493772020936,449.6642180058833,0.3042,240.31060510699422,:3213624009_0_0,6.9719,1
389,v_neg_speed,476.5104974796489,449.47589483845337,0.30510000000000004,240.33992602158497,:3213624009_0_0,7.277,1
390,v_neg_speed,476.270913097256,449.28701614545577,0.30600000000000005,239.9011039918543,:3213624009_0_0,7.583,1
391,v_neg_speed,476.0306240549149,449.0975819268906,0.3069,239.12517945813954,:3213624009_0_0,7.8899,1
392,v_neg_speed,475.7896303526256,448.9075921827577,0.3078,238.34658268124403,:3213624009_0_0,8.1977,1
393,v_neg_speed,475.5692631237168,448.69415020517664,0.30870000000000003,237.20941577635168,315255814_0,0.29639999999999844,1
394,v_neg_speed,475.3491412043603,448.47913301058384,0.3096,236.05193352860204,315255814_0,0.6059999999999984,1
395,v_neg_speed,475.12837939570335,448.2634907660068,0.3105,234.88889056820645,315255814_0,0.9164999999999984,1
396,v_neg_speed,474.9069776977459,448.0472234714454,0.3114,233.71399887357776,315255814_0,1.2278999999999984,1
397,v_neg_speed,474.684936110488,447.8303311268998,0.31229999999999997,232.5364124808302,315255814_0,1.5401999999999985,1
398,v_neg_speed,474.4622546339297,447.6128137323699,0.3132,231.35713425600673,315255814_0,1.8533999999999984,1
399,v_neg_speed,474.2389332680709,447.39467128785566,0.3141,230.17717563055146,315255814_0,2.167499999999998,1
400,v_neg_speed,474.0149720129117,447.1759037933572,0.315,228.99755144124012,315255814_0,2.482499999999998,1
401,v_neg_speed,473.79037086845204,446.95651124887445,0.3159,228.35231094272532,315255814_0,2.7983999999999982,1
402,v_neg_speed,473.56512983469185,446.73649365440735,0.31679999999999997,227.96672564994722,315255814_0,3.115199999999998,1
403,v_neg_speed,473.3392489116313,446.51585100995607,0.3177,227.57995949812613,315255814_0,3.432899999999998,1
404,v_neg_speed,473.1127280992702,446.29458331552047,0.3186,227.19204713765814,315255814_0,3.751499999999998,1
405,v_neg_speed,472.8855673976087,446.07269057110057,0.3195,226.80302384607583,315255814_0,4.070999999999998,1
406,v_neg_speed,472.65776680664675,445.8501727766964,0.3204,226.41292551326447,315255814_0,4.391399999999998,1
407,v_neg_speed,472.42932632638434,445.62702993230795,0.3213,226.02178862584682,315255814_0,4.712699999999998,1
408,v_neg_speed,472.20024595682145,445.40326203793524,0.3222,225.67212015436414,315255814_0,5.034899999999998,1
409,v_neg_speed,471.9705256979581,445.1788690935782,0.3231,225.67212015436414,315255814_0,5.357999999999998,1
410,v_neg_speed,471.7401655497943,444.9538510992369,0.324,225.67212015436365,315255814_0,5.681999999999998,1
411,v_neg_speed,471.50916551233007,444.7282080549113,0.3249,225.67212015436365,315255814_0,6.006899999999998,1
412,v_neg_speed,471.2775255855654,444.5019399606015,0.3258,225.67212015436365,315255814_0,6.332699999999998,1
413,v_neg_speed,471.04524576950024,444.27504681630734,0.3267,225.67212015436414,315255814_0,6.659399999999998,1
414,v_neg_speed,470.81232606413465,444.0475286220289,0.3276,225.67212015436365,315255814_0,6.986999999999998,1
415,v_neg_speed,470.5787664694686,443.8193853777662,0.3285,225.67212015436365,315255814_0,7.315499999999998,1
