time,vehicle_id,x,y,speed,angle,lane,pos,anomaly,depart,edges,edge_id,lane_id,length,lane_speed,shape,acceleration,jerk,stopped,stopped_time,leader_distance,gap_time,following_time,lane_change_rate
758.0,37,303.6191787405758,363.32117886430336,11.045170936202766,271.1885386092084,:millieu_7_1,48.621761811414046,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",-0.605192489200272,-0.7068989927647635,0,1.0,21.257446294992697,1.9245918798157435,,
759.0,37,292.5422109514376,363.8380911391159,11.069232313642416,273.4447991302458,S01_1,7.290994125056464,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.0240613774396507,0.6292538666399228,0,1.0,25.072238904743426,2.265038639928337,,
760.0,37,281.29653209618004,364.6474260761099,11.275701381317475,274.8865190423469,S01_1,18.56669550637394,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.2064690676750586,0.1824076902354079,0,1.0,25.95292602004144,2.3016684410463744,,
761.0,37,270.07162321472936,365.6070797947949,11.265904681366074,274.88651904234746,S01_1,29.832600187740013,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",-0.0097966999514014,-0.2162657676264601,0,1.0,21.33294328724001,1.893584571377115,,
762.0,37,259.27711824545133,366.50026869730254,10.83171244778684,274.5477636695229,S01_1,40.664312635526855,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",-0.4341922335792336,-0.4243955336278322,0,1.0,20.04941728492322,1.850992387544387,,
763.0,37,248.12215892520013,367.21803670806815,11.17807608675691,273.68163256477567,S01_1,51.842388722283765,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.3463636389700699,0.7805558725493036,0,1.0,20.207990487391235,1.8078236657677085,,
764.0,37,237.15167040826395,367.923934909385,10.993222998902338,273.68163256477635,S01_1,62.835611721186105,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",-0.184853087854572,-0.5312167268246419,0,1.0,20.531665583182768,1.8676657050650964,,
765.0,37,225.45364565174447,368.7497259710457,11.727260744972291,274.15487784928234,S01_1,74.5628724661584,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.7340377460699532,0.9188908339245252,0,1.0,21.35073274291905,1.8206069778121483,,
766.0,37,214.07674106309832,369.5761861664508,11.40693278925507,274.15487784928234,S01_1,85.96980525541346,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",-0.3203279557172216,-1.0543657017871748,0,1.0,20.68708496388874,1.8135536823163585,,
767.0,37,202.5215901451604,370.4155948308343,11.585649581886964,274.15487784928297,S01_1,97.55545483730045,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.178716792631894,0.4990447483491156,0,1.0,20.31913292968873,1.753819048821891,,
768.0,37,191.10326934376712,371.24506365226887,11.448458315949091,274.15487784928297,S01_1,109.00391315324951,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",-0.1371912659378722,-0.3159080585697662,0,1.0,20.970292832772383,1.831713253788785,,
