time,vehicle_id,x,y,speed,angle,lane,pos,anomaly,depart,edges,edge_id,lane_id,length,lane_speed,shape,acceleration,jerk,stopped,stopped_time,leader_distance,gap_time,following_time,lane_change_rate
686.0,11,374.62966808092654,371.06608671895617,0.30691358725848994,250.09625046269213,ET03_2,29.177731862095868,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.35791540653331066,0.18683265756284118,0,0.0,0.15865400050385248,0.0019745194701203434,,
687.0,11,367.7397356836164,368.9303626467116,0.35614676715486676,253.9304369186895,ET03_2,36.32651409364093,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.3186802032133487,0.16445147165855786,0,0.0,0.1839266768422451,0.0017004633705644187,,
688.0,11,359.09034715634346,367.1812655723336,0.4037711671702424,259.46541494602826,ET03_2,45.06836770039117,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,ET03,ET03_2,51.78,13.89,"401.58,382.91 390.40,377.42 382.07,373.76 371.63,369.98 366.33,368.55 361.07,367.52 353.94,366.30 352.40,366.10",0.31589021574776543,0.18363711895464213,0,0.0,0.1992114795137889,0.001441468838265517,,
691.0,11,323.7326062760368,363.633368236451,0.4961044342679676,266.3658252009605,:millieu_7_1,28.614922656030583,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.18131379634546463,0.09850820008028395,0,0.0,0.2599638621076453,0.001369309600379285,,
692.0,11,311.0153601478158,363.2420043249796,0.5206397310400208,268.4530362864659,:millieu_7_1,41.26611609072981,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,:millieu_7,:millieu_7_1,52.4,13.89,"352.40,366.10 337.22,364.49 322.42,363.55 309.46,363.20 299.82,363.40",0.2758484987912222,0.23487120085171564,0,0.0,0.27147201099626495,0.001323846612840956,,
693.0,11,298.46907086699605,363.48132003810406,0.5157391152703185,271.7966451857324,S01_1,1.3533803063507648,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.22479998183786598,0.15823265628169417,0,0.0,0.8740182348348419,0.005591067727257122,,
694.0,11,286.1228784138119,364.2348061394768,0.5122138659197439,273.5626093762609,S01_1,13.722722326016536,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.22718517767184343,0.18636146120781139,0,0.0,0.8991891735371174,0.005828663769085384,,
695.0,11,273.67723626917484,365.2988242880125,0.5158536751121006,274.8865190423469,S01_1,26.21381865300544,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.23961100656305795,0.1916470944507384,0,0.0,0.25692914899444985,0.0012456843143078644,,
696.0,11,260.912821636567,366.3900953262355,0.5254180890441698,274.88651904234746,S01_1,39.02485169417602,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.24988560855027794,0.19051463633061652,0,0.0,0.2544570457986087,0.0011835165637055765,,
697.0,11,248.51756833047523,367.19259401355765,0.5137673797014051,273.68163256477635,S01_1,51.4461598978935,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.213093795874974,0.16573773187175753,0,0.0,0.2575914973980002,0.001260541876360705,,
698.0,11,236.03218666925844,367.9959683066715,0.5164563277474284,273.68163256477567,S01_1,63.9574154008977,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.23796199869622092,0.19819706245480817,0,0.0,0.2545093322851054,0.0012257630198649057,,
699.0,11,223.6473028068181,368.8809453593208,0.5136256598894435,274.15487784928234,S01_1,76.37398297217335,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.22838973876875707,0.18006676591188597,0,0.0,0.2474492276805073,0.0011894218740562575,,
700.0,11,211.42682621701024,369.7686857276839,0.5087278231931198,274.15487784928297,S01_1,88.62671428642899,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.22480480137842815,0.18321863799584748,0,0.0,0.25006891436398876,0.0012316695984178564,,
701.0,11,198.69771685034337,370.6933750517911,0.5239733835996101,274.15487784928234,S01_1,101.38942086283387,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.25973799894933874,0.20349552028465215,0,0.0,0.25147889837042775,0.0011696186447313398,,
702.0,11,186.91218814689435,371.44335548101446,0.4955044353839516,272.9413513585339,S01_1,113.19982008271728,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.18392717326693875,0.14519717520756836,0,0.0,0.24287860239494238,0.0012454067169459975,,
703.0,11,174.23979593223706,371.8241162593236,0.5215072789270888,270.48606070015376,S01_1,125.88003363536151,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,S01,S01_1,130.11,13.89,"299.82,363.40 286.53,364.20 260.68,366.41 234.26,368.11 190.76,371.27 179.44,371.78 170.01,371.86",0.27839355616347966,0.23483523578074622,0,0.0,0.2510150654518863,0.0011776828950379528,,
675.0,12,476.5863529041753,445.20948340428896,0.5555877057801619,230.7616636446753,315255814_1,2.0040749718667943,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.35662383094065353,0.20225605955839532,0,0.0,0.4363507726280043,0.002213047752325875,,
676.0,12,465.5021721081619,434.3814496434775,0.6056371334838618,225.6697394996591,315255814_1,17.498494331855603,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.3200957611639019,0.16587657254288127,0,0.0,0.4011039591491676,0.0017129479356500408,,
677.0,12,454.3197132576624,424.2221145893633,0.5941239898115819,228.1487417997934,315255814_1,32.6077905277308,0,650.0,315255906#1 315255906#2 315255814 ET03 S01,315255814,315255814_1,92.36,13.89,"478.02,446.61 463.74,432.66 449.74,420.12 433.91,407.81 421.00,397.38 406.96,387.87",0.2133323658004681,0.12890299033621055,0,0.0,0.36442805432226827,0.0015575765018223013,,
